Fornitore;Data inserimento;Lotto di Taglio;Commessa BV;WO;Articolo;Mov. Mag;N. Riga;Materiale;U.M.;Qtà Avanzata;Qtà Consumata;Cls Impiego BV;Conceria;Conc Des;Partita;Causale di Resa Taglio;Inviato a ST400
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07635/A;WPEP/2023/3501;766014/VCPP1/22;2PE/2023/S/20241;1;0004A1V2596 2113;DQ;34;141,78;113;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07635/A;WPEP/2023/3501;766014/VCPP1/22;2PE/2023/S/20241;2;0004A1V2596 2113;DQ;34;3256,99;114;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07647/A;WPEP/2023/3502;766014/VCPP1/22;2PE/2023/S/20241;3;0004A1V2596 2113;DQ;33;137,61;113;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07647/A;WPEP/2023/3502;766014/VCPP1/22;2PE/2023/S/20241;4;0004A1V2596 2113;DQ;33;3161,20;114;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
T571383;2023-07-13 16:49:09;L57138320230713164909000;EPEV/2023/07601/A;WPEP/2023/3507;766014/VCPP1/11;2PE/2023/S/20336;1;0004A1V2523 1000;DQ;30;1308,32;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:49:09;L57138320230713164909000;EPEV/2023/07601/A;WPEP/2023/3507;766014/VCPP1/11;2PE/2023/S/20336;2;0004A1V2523 1000;DQ;30;2617,69;114;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:49:09;L57138320230713164909000;EPEV/2023/07634/A;WPEP/2023/3510;766014/VCPP1/11;2PE/2023/S/20336;3;0004A1V2523 1000;DQ;30;1308,32;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:49:09;L57138320230713164909000;EPEV/2023/07634/A;WPEP/2023/3510;766014/VCPP1/11;2PE/2023/S/20336;4;0004A1V2523 1000;DQ;30;2617,69;114;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571386;2023-07-13 15:12:24;L57138620230713151224000;EPEV/2023/04045/A;WBEP/2023/102;755145/V3IM2/10;2BE/2023/S/3585;1;0004A1V1149 1000;DQ;0;266,00;110;491329;ITALCONCIA 1973 SRL;13149;R01/Riparazione (R);SI
T571386;2023-07-13 15:14:39;L57138620230713151439000;EPEV/2023/04901/A;WBEP/2023/130;609182/V3IM1/88;2BE/2023/S/3586;1;0004A1V2616 1000;DQ;0;203,00;110;571373;F.L. LEATHER S.R.L.;331/23;R01/Riparazione (R);SI
T571386;2023-07-13 15:05:40;L57138620230713150540000;EPEV/2023/05369/A;WBEP/2023/158;609182/VCPQ3/16;2BE/2023/S/3583;1;0004A1V2616 1602;DQ;0;173,00;110;463546;RINO MASTROTTO GROUP SPA;0889081;R01/Riparazione (R);SI
T571386;2023-07-13 15:09:59;L57138620230713150959000;EPEV/2023/05330/A;WBEP/2023/151;609182/V3IM1/89;2BE/2023/S/3584;1;0004A1V1149 1000;DQ;0;4,85;110;491329;ITALCONCIA 1973 SRL;13149;R01/Riparazione (R);SI
T571386;2023-07-13 15:09:59;L57138620230713150959000;EPEV/2023/05330/A;WBEP/2023/151;609182/V3IM1/89;2BE/2023/S/3584;2;0004A1V1149 1000;DQ;0;255,15;170;491329;ITALCONCIA 1973 SRL;13149;R01/Riparazione (R);SI
T571386;2023-07-13 15:00:17;L57138620230713150017000;EPEV/2023/05697/A;WBEP/2023/159;743753/VALKO/25;2BE/2023/S/3579;1;0004A1V2616 2559;DQ;0;212,00;110;571373;F.L. LEATHER S.R.L.;0341/23;R01/Riparazione (R);SI
T571386;2023-07-13 15:02:16;L57138620230713150216000;EPEV/2023/05820/A;WBEP/2023/160;743753/VALKO/25;2BE/2023/S/3581;1;0004A1V2606 2559;DQ;0;160,00;110;;;857/23;R01/Riparazione (R);SI
